Designator,Mid X,Mid Y,Layer,Rotation
C1,176.25,-70,Top,90
C10,141.1732,-96.52,Top,180
C11,153.288,-84.7952,Top,270
C12,148.7,-99.45,Top,180
C13,148.7,-96.85,Top,180
C14,132.1816,-91.5924,Top,90
C15,134.188,-85.2952,Top,270
C16,134.188,-88.6952,Top,90
C17,155.775,-120,Top,0
C18,156.7942,-115.0744,Top,270
C19,166.4716,-98.7958,Top,0
C2,178,-70,Top,90
C20,163.4092,-95.2144,Top,90
C21,142.175,-127.3,Top,0
C22,141.9507,-118.7958,Top,0
C23,168.35,-112.25,Top,90
C24,169.4625,-119.3,Top,270
C25,167.0625,-119.275,Top,270
C26,179.6625,-119.4,Top,270
C27,144.1196,-58.4596,Top,90
C28,142.25,-124.85,Top,0
C29,141.9507,-117.1702,Top,0
C3,183.75,-72.25,Top,90
C30,169.926,-95.7478,Top,270
C31,171.7548,-95.7478,Top,270
C32,166.5094,-100.65,Top,0
C33,156.53,-99.68,Top,180
C34,158.48,-102.25,Top,180
C35,139.3574,-101.4476,Top,180
C36,156.0917,-57.9232,Top,90
C37,156.0917,-61.1744,Top,270
C38,171.9875,-74.875,Top,90
C39,169.3375,-74.875,Top,90
C4,188.45,-72.3,Top,270
C40,163.3148,-74.5196,Top,90
C41,161.7148,-74.5196,Top,90
C42,152.34,-70.925,Top,90
C43,154.85,-70.925,Top,90
C44,144.3483,-70.3938,Top,90
C45,145.9739,-70.3938,Top,90
C46,144.1196,-61.66,Top,270
C47,157.226,-95.9482,Top,270
C48,154.75,-95.95,Top,270
C49,163,-109.5,Top,0
C5,186.7,-72.3,Top,270
C50,177.1625,-119.4,Top,270
C51,144.25,-106.05,Top,0
C53,143.4592,-108.9028,Top,270
C54,146.05,-109.025,Top,270
C55,139.8041,-114.3,Top,180
C56,139.8041,-112.6744,Top,180
C57,140.3604,-98.933,Top,180
C59,179.390976,-105.197857,Top,90
C6,180.9,-75.75,Top,180
C60,176.65,-105.2,Top,90
C61,172.79375,-107.725,Top,0
C62,170.8,-112.25,Top,90
C7,137.588,-84.0952,Top,90
C8,140.9192,-80.7952,Top,0
C9,137.7188,-91.567,Top,90
D1,126.05451,-62.176328,Top,0
D10,162,-104.1,Top,270
D3,126.05451,-69.659663,Top,0
D4,135.37236,-62.2554,Top,0
D5,126.01451,-76.961598,Top,0
D6,182.85,-115.675,Top,90
D7,135.4097,-76.9112,Top,180
D8,135.4097,-69.65696,Top,180
D9,161.790001,-86.72,Top,180
J2,177.47175,-49.417614,Top,180
J22,127.52792,-130.7355,Top,0
J3,158.9532,-130.7355,Top,0
J7,168.4795,-49.417614,Top,180
L1,183.5,-65.25,Top,0
Q1,174.8,-61.1375,Top,270
Q2,175.2,-86.28,Top,90
R1,178,-73.25,Top,270
R10,157.5,-118,Top,0
R11,156.0068,-112.5982,Top,180
R12,156.0068,-110.871,Top,180
R13,169.62685,-86.315025,Top,0
R14,126.037667,-74.924189,Top,0
R15,139.749264,-106.045679,Top,0
R16,135.420741,-74.974586,Top,180
R17,142.621,-78.2066,Top,180
R18,135.420741,-67.650946,Top,180
R19,153.988,-87.7952,Top,180
R2,176.25,-73.25,Top,270
R20,172.72,-82.1182,Top,0
R21,181.5,-90.95,Top,180
R22,163,-107.5,Top,0
R23,126.037667,-67.648244,Top,0
R25,135.4353,-114.5032,Top,270
R26,155.116637,-78.633363,Top,45
R27,152.95,-78,Top,45
R3,185.25,-75.75,Top,180
R4,180.9,-77.85,Top,180
R5,180.875,-79.6,Top,0
R6,135.355517,-60.286411,Top,0
R7,126.025551,-60.2223,Top,0
R9,179.65,-115.75,Top,90
TC1,159.48725,-49.417614,Top,180
TC2,150.495,-49.417614,Top,180
U1,145.288,-88.5952,Top,270
U10,166.2148,-74.0196,Top,0
U11,148.8695,-69.7334,Top,0
U13,172.89375,-105.025,Top,0
U14,143.8675,-102,Top,90
U15,140.2588,-109.0422,Top,0
U2,181.0498,-72.2287,Top,90
U3,162.9638,-113.595,Top,0
U4,166.4263,-96.2558,Top,0
U5,159.934399,-97.393801,Top,90
U6,159.8763,-59.4106,Top,180
U7,147.828,-60.0852,Top,180
U8,142.4739,-121.7621,Top,270
U9,173.5,-119.8,Top,180
Y1,130.688,-87.1952,Top,90
